Cycle,VHI
1,	0
2,	5.97302532696631E-05
3,	2.93156432462638E-07
4,	3.18012098432518E-05
5,	0.000921945960727
6,	0.000957317824941
7,	0.001853016903624
8,	0.002754145069048
9,	0.003754298202693
10,	0.004854724742472
11,	0.004518527537584
12,	0.005003766156733
13,	0.00620890269056
14,	0.005876196548343
15,	0.006316199433059
16,	0.00471505522728
17,	0.003939245827496
18,	0.001109688309953
19,	0.00093922065571
20,	0.000851654971484
21,	0.000707935774699
22,	0.000486512115458
23,	0.000493179250043
24,	0.000333112286171
25,	0.000607140362263
26,	0.001099324552342
27,	0.001457899226807
28,	0.002687752945349
29,	0.00600902736187
30,	0.009022536687553
31,	0.010644484311342
32,	0.013801432214677
33,	0.015414727851749
34,	0.012493558228016
35,	0.012336519546807
36,	0.020252399146557
37,	0.022861368954182
38,	0.022548075765371
39,	0.026474105194211
40,	0.028821721673012
41,	0.025871358811855
42,	0.027582064270973
43,	0.027457943186164
44,	0.026913786306977
45,	0.026420369744301
46,	0.027865082025528
47,	0.0271360501647
48,	0.02715433575213
49,	0.029453530907631
50,	0.029039308428764
51,	0.021645992994309
52,	0.02034274302423
53,	0.017474174499512
54,	0.013388794846833
55,	0.013899913057685
56,	0.020158363506198
57,	0.023475475609303
58,	0.02481372654438
59,	0.027449548244476
60,	0.040555592626333
61,	0.04675030708313
62,	0.055249270051718
63,	0.065416388213635
64,	0.069871328771114
65,	0.098834581673145
66,	0.1165806427598
67,	0.126036316156387
68,	0.142814844846725
69,	0.173538029193878
70,	0.184979632496834
71,	0.20628497004509
72,	0.224099531769752
73,	0.245069205760956
74,	0.27271169424057
75,	0.289610207080841
76,	0.354119420051575
77,	0.363872140645981
78,	0.386597365140915
79,	0.419891327619553
80,	0.451032489538193
81,	0.467819094657898
82,	0.522633910179138
83,	0.547575652599335
84,	0.53740257024765
85,	0.533712089061737
86,	0.573817789554596
87,	0.60051292181015
88,	0.619839131832123
89,	0.610551059246063
90,	0.612722933292389
91,	0.579919576644897
92,	0.60710334777832
93,	0.637392699718475
94,	0.667982518672943
95,	0.663564741611481
96,	0.652362763881683
97,	0.664942741394043
98,	0.713721573352814
99,	0.755674719810486
100,	0.815791010856628
101,	0.796200335025787
102,	0.952805876731873
103,	0.949957132339478
104,	1.04332172870636
105,	1.12600374221802
106,	1.21841073036194
107,	1.28113448619843
108,	1.3510969877243
109,	1.41943645477295
110,	1.4828405380249
111,	1.61040854454041
112,	1.70006942749023
113,	1.73341381549835
114,	1.84395837783814
115,	1.84322214126587
116,	1.96461236476898
117,	1.97893369197846
118,	2.01620841026306
119,	2.15383648872375
120,	2.27991032600403
121,	2.45210671424866
122,	2.54828071594238
123,	2.71384716033935
124,	2.91262173652649
125,	3.0420515537262
126,	3.18260502815247
127,	3.3482654094696
128,	3.53423118591309
129,	3.84957432746887
130,	4.61173105239868
131,	4.99521446228027
132,	5.29725456237793
133,	5.46904706954956
134,	5.51663875579834
135,	5.39546871185303
136,	5.51425981521606
137,	5.58144474029541
