Cycle,VHI
1,0.2583180190005805E-06
2,0.000199967835215
3,0.000199967835215
4,0.001946696895175
5,0.002282218774781
6,0.003015793627128
7,0.003228781977668
8,0.00274132960476
9,0.002290933160111
10,0.000655890384223
11,1.48159233503975E-05
12,0.001943860086612
13,0.00365620222874
14,0.004354256205261
15,0.003479949198663
16,0.003606736427173
17,0.00219249795191
18,0.00041580630932
19,9.04175152527387E-08
20,0.000109048793092
21,0.00013382016914
22,0.000317546568112
23,0.000708095671143
24,0.003215476637706
25,0.006389158777893
26,0.007658686954528
27,0.010982201434672
28,0.015358780510724
29,0.013644594699144
30,0.008251212537289
31,0.006563373375684
32,0.007009911816567
33,0.009728170000017
34,0.011520884931088
35,0.012758620083332
36,0.013497707433999
37,0.015109145082533
38,0.011994571425021
39,0.008729565888643
40,0.008344071917236
41,0.006387753877789
42,0.007293884642422
43,0.004302655346692
44,0.001159693230875
45,0.001122800051235
46,0.000794599007349
47,0.000383436738048
48,0.000748123624362
49,0.001187441986986
50,0.002041119150817
51,0.002859755652025
52,0.003170693526044
53,0.006770127918571
54,0.008414424955845
55,0.010141653008759
56,0.020579745993018
57,0.026880061253905
58,0.035624340176582
59,0.046702798455954
60,0.056015528738499
61,0.057480026036501
62,0.067786812782288
63,0.060340903699398
64,0.060356009751558
65,0.050115957856178
66,0.039068676531315
67,0.034258250147104
68,0.032946489751339
69,0.029162844642997
70,0.027996359393001
71,0.034997899085283
72,0.040089640766382
73,0.050578214228153
74,0.060132253915072
75,0.068946912884712
76,0.072129793465138
77,0.079204298555851
78,0.079108022153378
79,0.072613157331944
80,0.09498918056488
81,0.094871684908867
82,0.092893317341805
83,0.090932980179787
84,0.080915585160256
85,0.085817627608776
86,0.086270801723003
87,0.086601190268993
88,0.095634393393993
89,0.112707026302814
90,0.131275281310082
91,0.139972522854805
92,0.151565492153168
93,0.167365908622742
94,0.194330990314484
95,0.206635251641273
96,0.23930037021637
97,0.239743113517761
98,0.242850616574287
99,0.226812452077866
100,0.206283688545227
101,0.179473623633385
102,0.16740745306015
103,0.146042883396149
104,0.131421163678169
105,0.127274334430695
106,0.124179750680924
107,0.113488912582398
108,0.116596847772598
109,0.109680376946926
110,0.111664056777954
111,0.116469673812389
112,0.129779398441315
113,0.154500022530556
114,0.171528950333595
115,0.18298989534378
116,0.192458048462868
117,0.187796175479889
118,0.195086777210236
119,0.207778096199036
120,0.209737062454224
121,0.255521804094315
122,0.291028290987015
123,0.306823641061783
124,0.313786327838898
125,0.331221222877502
126,0.336638897657394
127,0.331799685955048
128,0.336940914392471
129,0.33359894156456
130,0.34784659743309
131,0.377790480852127
132,0.401064366102219
133,0.42687064409256
134,0.450889974832535
135,0.455159485340118
136,0.468303561210632
137,0.488157123327255
138,0.527059018611908
139,0.549036204814911
140,0.599745571613312
141,0.621071815490723
142,0.638608157634735
143,0.676204323768616
144,0.671869874000549
145,0.691728234291077
146,0.682280719280243
147,0.694648504257202
148,0.704201519489288
149,0.733675956726074
150,0.730831384658814
151,0.747813522815704
152,0.73260760307312
153,0.740305006504059
154,0.701880276203156
155,0.694687247276306
156,0.679372608661652
157,0.688577890396118
158,0.687362134456635
159,0.706545233726501
160,0.731272518634796
161,0.738236367702484
162,0.754444122314453
163,0.77894514799118
164,0.772237777709961
165,0.807206392288208
166,0.821060001850128
167,0.837024927139282
168,0.880161166191101
169,0.866781890392303
170,0.878385484218597
171,0.865943074226379
172,0.871624767780304
173,0.872466504573822
174,0.869967103004456
175,0.880692362785339
176,0.887298941612244
177,0.940965235233307
178,0.965773820877075
179,0.959012985229492
180,0.994397163391113
181,1.05789029598236
182,1.09156620502472
183,1.19567239284515
184,1.2435154914856
185,1.31099534034729
186,1.34955811500549
187,1.31078064441681
188,1.35959196090698
189,1.31507861614227
190,1.39929008483887
191,1.45320105552673
192,1.5137220621109
193,1.66000139713287
194,1.65800738334656
195,1.71951949596405
196,1.7699568271637
197,1.83297049999237
198,1.89003300666809
199,1.94367098808289
200,1.90594851970673
201,1.98344969749451
202,2.0254020690918
203,2.03764533996582
204,2.05229568481445
205,2.11402702331543
206,2.13447737693787
207,2.16411423683166
208,2.20949912071228
209,2.3104784488678
210,2.36522221565247
211,2.44098496437073
212,2.58397817611694
213,2.65660500526428
214,2.78670406341553
215,2.82746434211731
216,2.89629364013672
217,2.98150372505188
218,3.07897758483887
219,3.13393259048462
220,3.26514220237732
221,3.32355237007141
222,3.30561184883118
223,3.41849589347839
224,3.38883113861084
225,3.43627548217773
226,3.45601010322571
227,3.55665683746338
228,3.76275515556335
229,3.87010908126831
230,4.004798412323
231,4.22038221359253
232,4.29627132415772
233,4.49140548706055
234,4.94635009765625
235,5.29236078262329
236,5.67693376541138
237,5.93459463119507
238,6.09125995635986
239,6.1909065246582
240,6.26512289047241
241,6.28350496292114
242,6.29262208938599
243,6.31194496154785
244,6.32482719421387
