,Cycle,qMax,R0,D
0,1.0,12575.469259856078,0.11000000000000001,4478435.1866868595
1,2.0,12528.807810343427,0.11942827660527326,4690359.247008469
2,3.0,12501.21813823767,0.12490955857084038,5401032.795271254
3,4.0,12461.882176585365,0.11241860271375634,5874723.413612996
4,5.0,12430.660490298937,0.11234872920590253,5485969.859672712
5,6.0,12494.574464752877,0.11339608787337958,5263062.201211185
6,7.0,12476.267680985984,0.11312526122206497,5034402.140913785
7,8.0,12235.143889108525,0.11189227454641344,5379855.545198549
8,9.0,12210.568876256651,0.1204382270501203,6183392.332951933
9,10.0,12211.985219485512,0.12028059274706426,6170584.763399653
10,11.0,12186.989548147343,0.11649584072355097,6918262.242200445
11,12.0,12117.376087834635,0.11639103788494447,7929545.456621491
12,13.0,12095.147383805188,0.11704649616952997,8703746.954478417
13,14.0,12093.151383140837,0.11704610241810068,8686073.58403429
14,15.0,12075.709208824625,0.11702693555162344,9482464.078700848
15,16.0,12054.682064605957,0.1170266009120718,10284403.431590483
16,17.0,12027.280969606849,0.1170230065541761,10928371.983584855
17,18.0,12012.498972396388,0.11699591924587996,11732963.69550491
18,19.0,12028.329880926283,0.11731009005976212,11883744.132470513
19,20.0,12679.490878858622,0.11205217758442938,11666087.733259441
20,21.0,12609.909377068549,0.1094768605377904,12687144.069931775
21,22.0,12601.852231253277,0.10852739364010237,13693725.03673217
22,23.0,12511.29669454294,0.10871077322944556,14326261.48244673
23,24.0,12563.708669322876,0.10851616705202043,14163492.38376984
24,25.0,12358.593068741557,0.10553863778821906,15160243.445374051
25,26.0,12370.947429259533,0.1051505852138418,15409134.315661078
26,27.0,12324.279140115608,0.10524416042022637,15651277.034859043
27,28.0,12287.575180280099,0.10554758299042952,15068535.282219607
28,29.0,12274.287633823446,0.10503033224582974,14052220.25085477
29,30.0,12175.560330533333,0.10520651902891964,14281978.631128531
30,31.0,12565.472256429446,0.11570968613213164,16443270.865315868
31,32.0,12392.009809324294,0.11368128589778634,16603776.306965401
32,33.0,12318.477362241058,0.11351349193228946,16303548.582115024
33,34.0,12268.637159508058,0.11386022972937433,15659006.48908477
34,35.0,12172.444841934252,0.11380253348837295,14755203.690376284
35,36.0,12096.063191512236,0.11408858760106397,12981879.390761642
36,37.0,11928.495839082536,0.11384240685678818,12306785.617101453
37,38.0,11779.455736650843,0.11456948282706472,10975837.181547089
38,39.0,11611.65352740617,0.11488102090633283,8886586.862435836
39,40.0,11318.92488320778,0.11754157454638295,6014868.219716608
